"NAME","QUANTITY"
"haloperidol","198"
"Nitrogen","24"
"Pioglitazone Hydrochloride","70"
"simvastatin","81"
"Gemfibrozil","81"
"ziprasidone hydrochloride","170"
"sucroferric oxyhydroxide","104"
"Acetaminophen, Guaifenesin and Phenylephrine HCl","40"
"NOT APPLICABLE","145"
"Prednisolone Sodium Phosphate","182"
"Gabapentin","200"
"Sevoflurane","182"
"Clotrimazole","97"
"SALICYLIC ACID","87"
"House Dust","74"
"Guaifenesin","199"
"Aluminum Zirconium Trichlorohydrex Gly","135"
"Bismuth Subsalicylate","48"
"Desogestrel and Ethinyl Estradiol","17"
"Avobenzone, Octisalate, Octocrylene","163"
"ofloxacin","43"
"Famotidine","120"
"WITCH HAZEL","99"
"Diclofenac Sodium","27"
"ZINC OXIDE","43"
"nicotine polacrilex","185"
"Dexamethasone Sodium Phosphate","22"
"ATORVASTATIN CALCIUM","62"
"Russian Olive","163"
"Nefazodone Hydrochloride","189"
"Hydroxyzine Hydrochloride","116"
"podofilox","28"
"Hydrocortisone Acetate","61"
"ALCOHOL","60"
"LAMOTRIGINE","194"
"Salicylic Acid and Benzoyl Peroxide","17"
"Ondansetron","9"
"bupropion hydrochloride","119"
"Loperamide Hydrochloride","146"
"Pramipexole Dihydrochloride","174"
"DIPHENHYDRAMINE HYDROCHLORIDE","196"
"Clobetasol Propionate","197"
"Turnip","143"
"SENNOSIDES","66"
"Spleen,","67"
"cocoa butter, phenylephrine hcl","41"
"Cefuroxime","147"
"Tramadol Hydrochloride","58"
"Chlorpheniramine Maleate","165"
"Carbon Dioxide Oxygen Mixture 5/95","62"
"Dextromethorphan Hydrobromide","71"
"MIPOMERSEN SODIUM","123"
"Oxytocin","3"
"Titanium Dioxide, Zinc Oxide","156"
"Avobenzone, Octinoxate, Octisalate and Octocrylene","85"
"Octinoxate","49"
"Alfuzosin Hydrochloride","192"
"HYDROXYZINE PAMOATE","108"
"Australian Pine Beefwood","135"
"promethazine hydrochloride","160"
"Cyclobenzaprine Hydrochloride","18"
"White Petroleum","162"
"interferon beta-1b","75"
"Montelukast Sodium","23"
"METHYL UNDECENOYL LEUCINATE","156"
"Glycopyrrolate","200"
"Aluminum Chlorohydrate","14"
"Cetirizine HCl","164"
"AVOBENZONE, OCTOCRYLENE, OXYBENZONE","183"
"Pantoprazole Sodium","135"
"CETYLPYRIDINIUM CHLORIDE","45"
"Desmopressin Acetate","165"
"ARIPIPRAZOLE","130"
"FLUPHENAZINE HYDROCHLORIDE","161"
"fluorouracil","122"
"BUPIVACAINE HYDROCHLORIDE","107"
"Insects (whole body) cockroach mix","125"
"propranolol hydrochloride","60"
"Titanium Dioxde, Octinoxate","87"
"TITANIUM DIOXIDE, OCTINOXATE","175"
"calcium carbonate","196"
"UNDECYLENIC ACID","89"
"OCTINOXATE OCTOCRYLENE","54"
"Simvastatin","12"
"OCTISALATE, OXYBENZONE, and AVOBENZONE","132"
"propionibacterium acnes","175"
"Ragweed, Mixed Ambrosia","8"
"COAGULATION FACTOR IX HUMAN","90"
"zolpidem tartrate","178"
"Oxygen","115"
"Pulmo 8","57"
"EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYMOL","31"
"SODIUM FLUORIDE","58"
"Olanzapine","118"
"NITROGEN","13"
"Hydrochlorothiazide","43"
"Celecoxib","27"
"acyclovir","94"
"MENTHOL, METHYL SALICYLATE","144"
"Spironolactone","97"
"MOSCHUS MOSCHIFERUS MUSK SAC RESIN","123"
"Chlorogenic Acid","15"
"Alcohol","85"
"FAMOTIDINE","47"
"Donepezil Hydrochloride","129"
"Chlordiazepoxide Hydrochloride","34"
"Ampicillin and Sulbactam","110"
"Meloxicam","35"
"Octinoxate, Zinc Oxide, Octisalate, Oxybenzone","116"
"clobazam","130"
"Rose Bengal Sodium","174"
"METHADONE HYDROCHLORIDE","155"
"TRAMADOL HYDROCHLORIDE","110"
"CEPHALEXIN","68"
"GALANTAMINE HYDROBROMIDE","70"
"Carvedilol","78"
"ANASTROZOLE","84"
"Sertraline","85"
"salicylic acid","151"
"Lanolin, Petrolatum","152"
"White Alder","186"
"Hydrocortisone","81"
"colesevelam hydrochloride","153"
"Diphenhydramine HCl","74"
"Pyrithione Zinc","125"
"Mexiletine Hydrochloride","200"
"TIZANIDINE HYDROCHLORIDE","168"
"Date","124"
"Warfarin Sodium","82"
"Sennosides","185"
"Ibuprofen","197"
"Acetaminophen, Diphenhydramine HCl","153"
"QUETIAPINE FUMARATE","52"
"Bacillus cereus","10"
"wasp hymenoptera venom multidose","110"
"telmisartan and hydrochlorothiazide","127"
"Venlafaxine","42"
"Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl","142"
"Butalbital, aspirin, and caffeine","55"
"Aurum Equisetum A","117"
"Trazodone Hydrochloride","179"
"Loratadine","32"
"Aluminum Zirconium Pentachlorohydrex Gly","18"
"Morphine Sulfate","91"
"Benzoyl Peroxide","138"
"Oxcarbazepine","84"
"Pollens - Grasses, Southern Grass Mix","119"
"ALLANTOIN","197"
"aspirin","127"
"tizanidine","120"
"C Mold Mixture","54"
"hydrochlorothiazide","175"
"Benzonatate","67"
"Isopropyl Alcohol","176"
"Capsaicin","173"
"Methylphenidate Hydrochloride","197"
"octinoxate, octisalate, zinc oxide, oxybenzone,","65"
"PRAVASTATIN SODIUM","84"
"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN","96"
"oxacillin sodium","22"
"Acetaminophen and Codeine Phosphate","22"
"oxycodone hydrochloride and acetaminophen","123"
"sodium phosphate","161"
"quinapril","95"
"sulfur","195"
"Walnut English Pollen","104"
"Phentermine Hydrochloride","151"
"diclofenac sodium and misoprostol","183"
"hydroxyzine hydrochloride","200"
"Treatment Set TS331567","143"
"Licorice","192"
"valganciclovir hydrochloride","4"
"Dextromethorphan HBr and Guiafenesin","186"
"hydrocortisone acetate pramoxine hcl","145"
"LOPERAMIDE HYDROCHLORIDE","81"
"ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY","162"
"CARISOPRODOL","52"
"Eucalyptus","158"
"Nortriptyline Hydrochloride","21"
"Urea","3"
"silver sulfadiazine","76"
"Digoxin","24"
"Rose iron Graphite","111"
"Docusate Calcium","193"
"Dicyclomine Hydrochloride","177"
"Gerbil Epithelium","35"
"megesterol acetate","12"
"acetaminophen","41"
"lidocaine and menthol","139"
"somatropin","121"
"Menthol and Camphor","78"
"paliperidone palmitate","4"
"Tolnaftate","9"
"dichlorphenamide","74"
"dimethicone, octinoxate, oxybenzone","81"
"One Seed Juniper","49"
"Diltiazem Hydrochloride","82"
"Coal Tar and Menthol","168"
"colistimethate sodium","128"
"Methotrexate Sodium","143"
"Pravastatin Sodium","85"
"Oxaprozin","117"
"LLEVOTHYROXINE SODIUM","33"
"Quinapril Hydrochloride and Hydrochlorothiazide","31"
"LIDOCAINE HYDROCHLORIDE ANHYDROUS","112"
"Eucalyptol, Menthol, Methyl Salicylate, Thymol","6"
"Lidocaine Hydrochloride and Epinephrine","120"
"Lip Balm SPF 35","42"
"TELMISARTAN AND HYDROCHLOROTHIAZIDE","14"
"amlodipine besylate and benazepril hydrochloride","6"
"Sulfamethoxazole and Trimethoprim","139"
"Rizatriptan Benzoate Oral Films","121"
"Duloxetine Hydrochloride","159"
"fenofibric acid","149"
"zinc acetate and zinc gluconate","13"
"CARBOXYMETHYLCELLULOSE SODIUM","75"
"Atenolol and Chlorthalidone","129"
"PAROXETINE","152"
"ZONISAMIDE","196"
"oxycodone hydrochloride","181"
"Miconazole Nitrate","3"
"IBUPROFEN","107"
"AcetaZOLAMIDE","76"
"Zolpidem Tartrate","200"
"ampicillin sodium","170"
"Dextromethorphan HBr, Guaifenesin","55"
"White Birch","38"
"famciclovir","115"
"English Walnut Pollen","106"
"HydrALAZINE Hydrochloride","136"
"Divalproex Sodium","35"
"Quetiapine fumarate","162"
"micafungin sodium","110"
"Standardized Mite D. farinae","41"
"OXCARBAZEPINE","117"
"irinotecan hydrochloride","22"
"Levothyroxine Sodium","151"
"Phenytoin Sodium","184"
"Menthol","126"
"Benzocaine","35"
"Acetaminophen","86"
"Labetalol HCl","6"
"TRIFLUOPERAZINE HYDROCHLORIDE","161"
"Cocklebur Xanthium strumarium","43"
"Beefwood/Australian Pine","98"
"Chlorpheniramine maleate, Phenylephrine HCl","115"
"hydroxyzine pamoate","146"
"Pramoxine HCl / Hydrocortisone / Chloroxylenol","83"
"HYDROCORTISONE","188"
"Stannous Fluoride","150"
"OCTINOXATE","131"
"Haloperidol","71"
"Isoniazid","44"
"Hazelnut (Filbert) Corylus spp.","183"
"Piroxicam","138"
"Aspirin","46"
"Naratriptan Hydrochloride","25"
"GLYCERIN","45"
"dextromethorphan HBr, doxylamine succinate","16"
"not applicable","152"
"Titanium Dioxide, Octinoxate","131"
"cyclobenzaprine hydrochloride","136"
"Arnica Montana, Atropa Belladonna","27"
"Ramipril","15"
"Treatment Set TS331884","19"
"Modafinil","39"
"Quinapril","124"
"Salicylic Acid","71"
"Sodium Fluoride","17"
"Naproxen Sodium","184"
"amlodipine valsartan and hydrochlorothiazide","44"
"alprazolam","159"
"nabumetone","43"
"cantaloupe","150"
"SOYBEAN OIL","35"
"Lidocaine HCL and Phenol","121"
"Rocuronium Bromide","180"
"Docuset Sodium","130"
"CYCLOBENZAPRINE HYDROCHLORIDE","28"
"TITANIUM DIOXIDE, OCTINOXATE, OCTISALATE","186"
"Lansoprazole","35"
"Candida albicans","195"
"Metronidazole","100"
"Articaine hydrochloride and Epinephrine Bitartrate","3"
"ASPIRIN","168"
"Mirtazapine","98"
"menthol","84"
"Sertraline Hydrochloride","112"
"Fosinopril Sodium","105"
"valsartan","83"
"Lorazepam","45"
"Cucumber","200"
"Ampicillin Sodium","61"
"ondansetron hydrochloride","62"
"Allopurinol","145"
"Coniferyl alcohol,","112"
"Cocoa butter, Phenylephrine HCl, Shark liver oil","80"
"Amitriptyline Hydrochloride","30"
"Enalapril Maleate","53"
"Miconazole nitrate","181"
"Acetaminophen, Aspirin, Caffeine","180"
"Mesquite, Prosopis juliflora","65"
"neomycin sulfate and fluocinolone acetonide","165"
"omeprazole","28"
"Acyclovir","18"
"Aluminum Zirconium Tetrachlorohydrex GLY","188"
"amlodipine besylate and atorvastatin calcium","199"
"Triclosan","115"
"methylprednisolone sodium succinate","172"
"Octinoxate and Oxybenzone","95"
"Aloe socotrina, Alumina, Apis mellifica","26"
"Cetirizine Hydrochloride","145"
"NOREPINEPHRINE BITARTRATE","140"
"Octinoxate and Titanium Dioxide","34"
"quercus macrocarpa pollen","164"
"PANAX GINSENG WHOLE","82"
"Galantamine","141"
"clorazepate dipotassium","167"
"OCTINOXATE, OXYBENZONE","184"
"Losartan Potassium and Hydrochlorothiazide","5"
"Phenylephrine Hydrochloride","25"
"vinCRIStine sulfate","53"
"DIOSCOREA VILLOSA ROOT","143"
"Povidone/Polyvinyl Alcohol","20"
"Molds - Trichophyton Mix","160"
"Piperonyl butoxide, Pyrethrum extract","52"
"Witch hazel","185"
"Levalbuterol","182"
"MENTHOL","185"
"oxcarbazepine","162"
"Mugwort","33"
"Pseudoephedrine HCl","48"
"Ethyl Alcohol","54"
"venlafaxine hydrochloride","136"
"Hydrocodone Bitartrate and Acetaminophen","183"
"Diltiazem Hydrochloride Extended-Release Tablets","84"
"DROSERA ROTUNDIFOLIA","8"
"Letrozole","185"
"Enteric Aspirin","68"
"Amlodipine Besylate","138"
"Baclofen","101"
"LISINOPRIL AND HYDROCHLOROTHIAZIDE","81"
"AVOBENZONE, OCTISALATE, OCTINOXATE, OXYBENZONE","153"
"ethyl alcohol","180"
"aripiprazole","51"
"Amoxicillin","40"
"THYROTROPIN ALFA","93"
"Triclosan 0.46%","100"
"HYDROXYUREA","3"
"perphenazine","151"
"DEXTROSE MONOHYDRATE","67"
"metoprolol tartrate","22"
"Paroxetine hydrochloride","4"
"fenofibrate","12"
"Antiperspirant/Deodorant","6"
"Citalopram Hydrobromide","93"
"lubiprostone","138"
"Carbamazepine","168"
"Furosemide","146"
"dimethicone","190"
"TECHNETIUM TC-99M SODIUM PERTECHNETATE","3"
"Terbinafine Hydrochloride","152"
"zaleplon","66"
"Loratadine, Pseudoephedrine","163"
"PERPHENAZINE","125"
"Phenylephrine HCl","119"
"Oxybutynin Chloride","165"
"Tetrahydrozoline HCl","124"
"cisatracurium besylate","99"
"estradiol","24"
"Carbidopa and Levodopa","74"
"DEXAMETHASONE SODIUM PHOSPHATE","148"
"Eszopiclone","168"
"lansoprazole","96"
"Ibuprofen, Pseudoephedrine Hydrochloride","10"
"Ranitidine","82"
"Atenolol","191"
"Docusate sodium","163"
"Avobenzone, Octisalate, and Octocrylene","73"
"polyethylene gloycol, propylene glycol","113"
"Oxygen-Helium Mixture","160"
"digoxin","51"
"iopromide","99"
"treprostinil","14"
"Pussy Willow","187"
"Glycerine and Phenol","192"
"Scleranthus,","77"
"Lovastatin","27"
"Mineral Oil","11"
"norethindrone acetate/ethinyl estradiol","129"
"nystatin","15"
"ENALAPRIL MALEATE","90"
"PHOMA HERBARUM","13"
"tobramycin / dexamethasone","138"
"Antihemophilic Factor Recombinant","141"
"Zinc Oxide","59"
"RANIBIZUMAB","193"
"Aspirin Chewable","83"
"Cedar Elm","178"
"Rosuvastatin calcium","36"
"Acetylcholine Chloride","104"
"Azithromycin Monohydrate","12"
"Skin Protectant","186"
"calcitonin salmon","57"
"Robitussin CF","87"
"AZITHROMYCIN","119"
"Cefuroxime Axetil","162"
"sodium ferric gluconate complex","48"
